TEM CCODE;BARCODE;ITEM DESCRIPTION;SUB CATEGORY;MAIN CATEGORY;ITEM CATEGORY;UNIT OF MEASURE;OFFICE
YCC-PIL-EAC;30046;Pillars White;miscellaneous;miscellaneous;external;ea;pos
YCC-SOS-EAC;30701;Soccer Set;miscellaneous;miscellaneous;external;ea;pos
YCC-GLG-EAC;30626;Gel Food Col.Leaf Green;consumables;Consumables;Internal;kg;
YCC-XPS-EAC;30815;Xmas Poinsettia Star Ribbon;miscellaneous;miscellaneous;external;ea;pos
YGA-AFS-EAC;;Air Filled Stand 1550x500;miscellaneous;miscellaneous;external;ea;pos
CBA-BAC-014;;BD 14'' Buttercream Alphabet Cake;novelty;novelty;internal;ea;pos
CBA-BEA-016;;BD 16'' Eggless Buttercream Alphabet Cake;novelty;novelty;internal;ea;pos
CBF-BCK-020;10096;BD Buttercream Key;novelty;novelty;internal;ea;pos
CBF-FCK-020;10097;BD Freshcream Key;novelty;novelty;internal;ea;pos
CBN-B1M-EACH;;BD Buttercream 1MX1M;novelty;novelty;internal;ea;pos
CBN-F1M-EACH;;BD Freshcream 1M X1M;novelty;novelty;internal;ea;pos
CEX- LFD-EACH;;20cmBC4LayerDrip Cake- Fresh Flowers Macaroon/topp;novelty;novelty;internal;ea;pos
